,scenario,run,acc,f1_score,auroc
0,0_to_11,0,0.4647,0.3771,0.7216
1,0_to_11,1,0.5231,0.5083,0.8146
2,0_to_11,2,0.5046,0.4677,0.8039
3,12_to_5,0,0.6867,0.6237,0.8638
4,12_to_5,1,0.6950,0.6350,0.8859
5,12_to_5,2,0.7185,0.6611,0.8992
6,7_to_18,0,0.7447,0.7125,0.9181
7,7_to_18,1,0.7649,0.7274,0.9239
8,7_to_18,2,0.7537,0.7132,0.9223
9,16_to_1,0,0.6802,0.6310,0.8796
10,16_to_1,1,0.6745,0.6312,0.8994
11,16_to_1,2,0.6841,0.6083,0.8694
12,9_to_14,0,0.8078,0.7086,0.9226
13,9_to_14,1,0.8093,0.7082,0.9212
14,9_to_14,2,0.7991,0.6837,0.9006
15,mean,-,0.6874,0.6265,0.8764
16,std,-,0.1091,0.1017,0.0568
