,scenario,run,acc,f1_score,auroc
0,0_to_1,0,0.9960,0.9965,1.0000
1,0_to_1,1,0.9934,0.9952,0.9999
2,0_to_1,2,0.9967,0.9976,1.0000
3,1_to_2,0,0.8794,0.9033,0.9223
4,1_to_2,1,0.8842,0.8903,0.9558
5,1_to_2,2,0.8886,0.8972,0.9533
6,3_to_1,0,1.0000,1.0000,1.0000
7,3_to_1,1,1.0000,1.0000,1.0000
8,3_to_1,2,1.0000,1.0000,1.0000
9,1_to_0,0,0.8197,0.8495,0.9332
10,1_to_0,1,0.9725,0.9616,0.9947
11,1_to_0,2,0.8303,0.8549,0.9358
12,2_to_3,0,0.9974,0.9981,1.0000
13,2_to_3,1,0.9967,0.9976,1.0000
14,2_to_3,2,0.9967,0.9976,0.9999
15,mean,-,0.9501,0.9560,0.9797
16,std,-,0.0682,0.0586,0.0300
