,scenario,run,acc,f1_score,auroc
0,2_to_11,0,0.9968,0.9967,1.0000
1,2_to_11,1,0.9684,0.9666,0.9998
2,2_to_11,2,0.9968,0.9967,1.0000
3,6_to_23,0,0.9489,0.9525,0.9787
4,6_to_23,1,0.9489,0.9517,0.9956
5,6_to_23,2,0.9462,0.9495,0.9918
6,7_to_13,0,0.9908,0.9904,0.9975
7,7_to_13,1,0.9939,0.9937,0.9962
8,7_to_13,2,0.9847,0.9840,0.9959
9,9_to_18,0,0.8571,0.8467,0.9779
10,9_to_18,1,0.7940,0.7883,0.9725
11,9_to_18,2,0.8791,0.8685,0.9697
12,12_to_16,0,0.6749,0.6855,0.8113
13,12_to_16,1,0.6694,0.6757,0.8413
14,12_to_16,2,0.5683,0.5767,0.8041
15,mean,-,0.8812,0.8816,0.9555
16,std,-,0.1406,0.1381,0.0718
